,ttp,total_cwes,mitigated_cwes,unmitigated_cwes,mitigation_ratio
94,T1499.004,99,"['CWE-415', 'CWE-20', 'CWE-787', 'CWE-190', 'CWE-120', 'CWE-416', 'CWE-269', 'CWE-362', 'CWE-190', 'CWE-125', 'CWE-787', 'CWE-125', 'CWE-122', 'CWE-120', 'CWE-400', 'CWE-770', 'CWE-476', 'CWE-400', 'CWE-476', 'CWE-787', 'CWE-476', 'CWE-662', 'CWE-362', 'CWE-662', 'CWE-787', 'CWE-416', 'CWE-787', 'CWE-20', 'CWE-20', 'CWE-400', 'CWE-400', 'CWE-787', 'CWE-476', 'CWE-787', 'CWE-665', 'CWE-20', 'CWE-79', 'CWE-416', 'CWE-787', 'CWE-787', 'CWE-787', 'CWE-787', 'CWE-20', 'CWE-20', 'CWE-20', 'CWE-20', 'CWE-862', 'CWE-306', 'CWE-125', 'CWE-123', 'CWE-20', 'CWE-193', 'CWE-20', 'CWE-425', 'CWE-787', 'CWE-787', 'CWE-787', 'CWE-416', 'CWE-502', 'CWE-611', 'CWE-787', 'CWE-119', 'CWE-787', 'CWE-416', 'CWE-787', 'CWE-20', 'CWE-617', 'CWE-674', 'CWE-772', 'CWE-319', 'CWE-787', 'CWE-20', 'CWE-284', 'CWE-119', 'CWE-119', 'CWE-798', 'CWE-776', 'CWE-120', 'CWE-476']","['NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-755', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-755', 'NVD-CWE-noinfo', 'CWE-843', 'NVD-CWE-noinfo', 'CWE-755', 'NVD-CWE-noinfo', 'CWE-310', 'NVD-CWE-noinfo', 'CWE-264']",0.797979797979798
95,T1505,1,['CWE-94'],[],1.0
96,T1505.003,13,"['CWE-20', 'CWE-73', 'CWE-434', 'CWE-89', 'CWE-20', 'CWE-89', 'CWE-434', 'CWE-20', 'CWE-20', 'CWE-20']","['NVD-CWE-noinfo', 'NVD-CWE-Other', 'NVD-CWE-Other']",0.7692307692307693
97,T1518,1,['CWE-200'],[],1.0
98,T1518.001,1,['CWE-200'],[],1.0
99,T1525,1,['CWE-732'],[],1.0
100,T1528,6,"['CWE-319', 'CWE-306', 'CWE-294', 'CWE-312', 'CWE-20', 'CWE-200']",[],1.0
101,T1529,4,"['CWE-20', 'CWE-306', 'CWE-352']",['NVD-CWE-noinfo'],0.75
102,T1531,1,['CWE-20'],[],1.0
103,T1533,1,[],['CWE-922'],0.0
104,T1539,3,"['CWE-79', 'CWE-916', 'CWE-20']",[],1.0
105,T1542.001,7,"['CWE-416', 'CWE-306', 'CWE-416', 'CWE-284', 'CWE-352']","['NVD-CWE-Other', 'CWE-347']",0.7142857142857143
106,T1542.004,2,"['CWE-94', 'CWE-94']",[],1.0
107,T1546,1,['CWE-94'],[],1.0
108,T1548,7,"['CWE-319', 'CWE-20', 'CWE-119', 'CWE-119']","['NVD-CWE-noinfo', 'CWE-347', 'CWE-189']",0.5714285714285714
109,T1548.002,2,['CWE-20'],['NVD-CWE-noinfo'],0.5
110,T1548.003,1,['CWE-863'],[],1.0
111,T1550,1,['CWE-94'],[],1.0
112,T1550.001,1,[],['CWE-345'],0.0
113,T1550.002,1,[],['CWE-255'],0.0
114,T1552,17,"['CWE-312', 'CWE-522', 'CWE-319', 'CWE-522', 'CWE-311', 'CWE-640', 'CWE-532', 'CWE-312', 'CWE-319', 'CWE-319', 'CWE-532', 'CWE-522', 'CWE-22', 'CWE-20', 'CWE-22']","['NVD-CWE-noinfo', 'CWE-290']",0.8823529411764706
115,T1552 ,1,['CWE-532'],[],1.0
116,T1552.001,7,"['CWE-20', 'CWE-611', 'CWE-522', 'CWE-522']","['NVD-CWE-Other', 'CWE-255', 'CWE-255']",0.5714285714285714
117,T1552.004,1,['CWE-200'],[],1.0
118,T1553,2,['CWE-295'],['CWE-264'],0.5
119,T1553.002,1,[],['CWE-264'],0.0
120,T1554,1,['CWE-94'],[],1.0
121,T1557,39,"['CWE-79', 'CWE-74', 'CWE-327', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-601', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-601', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-332', 'CWE-862', 'CWE-306', 'CWE-99', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-79', 'CWE-295', 'CWE-295', 'CWE-295', 'CWE-295', 'CWE-787', 'CWE-416', 'CWE-20', 'CWE-200']","['CWE-347', 'CWE-310', 'CWE-264', 'NVD-CWE-Other']",0.8974358974358975
122,T1558.001,1,[],['CWE-264'],0.0
123,T1562,4,"['CWE-862', 'CWE-284']","['CWE-668', 'NVD-CWE-noinfo']",0.5
124,T1563,8,"['CWE-384', 'CWE-384', 'CWE-384', 'CWE-613', 'CWE-384', 'CWE-287', 'CWE-203', 'CWE-384']",[],1.0
125,T1565,33,"['CWE-787', 'CWE-532', 'CWE-862', 'CWE-79', 'CWE-22', 'CWE-79', 'CWE-59', 'CWE-59', 'CWE-79', 'CWE-787', 'CWE-190', 'CWE-862', 'CWE-287', 'CWE-178', 'CWE-338', 'CWE-787', 'CWE-79', 'CWE-416', 'CWE-787', 'CWE-79', 'CWE-787', 'CWE-776', 'CWE-94']","['NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo']",0.696969696969697
126,T1565.001,18,"['CWE-862', 'CWE-89', 'CWE-552', 'CWE-787', 'CWE-787', 'CWE-22', 'CWE-59', 'CWE-89', 'CWE-20', 'CWE-59', 'CWE-89', 'CWE-89', 'CWE-287', 'CWE-287', 'CWE-59']","['NVD-CWE-noinfo', 'CWE-345', 'NVD-CWE-Other']",0.8333333333333334
127,T1565.002,3,"['CWE-79', 'CWE-601', 'CWE-20']",[],1.0
128,T1565.003,1,['CWE-190'],[],1.0
129,T1566,26,"['CWE-787', 'CWE-122', 'CWE-787', 'CWE-20', 'CWE-22', 'CWE-787', 'CWE-200', 'CWE-20', 'CWE-352', 'CWE-119', 'CWE-20', 'CWE-123', 'CWE-787', 'CWE-787', 'CWE-416', 'CWE-200', 'CWE-22', 'CWE-639', 'CWE-20', 'CWE-94']","['NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-290', 'NVD-CWE-noinfo']",0.7692307692307693
130,T1566.001,2,"['CWE-20', 'CWE-502']",[],1.0
131,T1566.002,5,"['CWE-601', 'CWE-601', 'CWE-601', 'CWE-601', 'CWE-601']",[],1.0
132,T1569,1,['CWE-119'],[],1.0
133,T1574,55,"['CWE-787', 'CWE-20', 'CWE-190', 'CWE-120', 'CWE-269', 'CWE-787', 'CWE-125', 'CWE-122', 'CWE-787', 'CWE-125', 'CWE-120', 'CWE-119', 'CWE-770', 'CWE-913', 'CWE-798', 'CWE-787', 'CWE-787', 'CWE-787', 'CWE-787', 'CWE-416', 'CWE-787', 'CWE-787', 'CWE-787', 'CWE-787', 'CWE-20', 'CWE-862', 'CWE-306', 'CWE-123', 'CWE-787', 'CWE-125', 'CWE-787', 'CWE-416', 'CWE-427', 'CWE-787', 'CWE-787', 'CWE-502', 'CWE-787', 'CWE-119', 'CWE-119', 'CWE-415', 'CWE-787', 'CWE-416', 'CWE-787']","['NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-843', 'CWE-668', 'NVD-CWE-noinfo']",0.7818181818181819
134,T1574.001,3,"['CWE-426', 'CWE-20', 'CWE-94']",[],1.0
135,T1574.002,1,['CWE-20'],[],1.0
136,T1574.008,3,"['CWE-427', 'CWE-427']",['NVD-CWE-Other'],0.6666666666666666
137,T1575,4,"['CWE-787', 'CWE-787', 'CWE-787', 'CWE-119']",[],1.0
138,T1588.004,1,['CWE-295'],[],1.0
139,T1589,1,['CWE-209'],[],1.0
140,T1600,1,['CWE-327'],[],1.0
141,T1608,27,"['CWE-20', 'CWE-78', 'CWE-352', 'CWE-88', 'CWE-352', 'CWE-20', 'CWE-404', 'CWE-352', 'CWE-306', 'CWE-119', 'CWE-119', 'CWE-20', 'CWE-119', 'CWE-20']","['NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-264', 'CWE-264', 'CWE-264', 'NVD-CWE-Other', 'CWE-264', 'CWE-264', 'CWE-264', 'CWE-264', 'CWE-264', 'CWE-264']",0.5185185185185185
