,ttp,total_cwes,mitigated_cwes,unmitigated_cwes,mitigation_ratio
39,T1068,122,"['CWE-732', 'CWE-862', 'CWE-863', 'CWE-306', 'CWE-306', 'CWE-639', 'CWE-787', 'CWE-89', 'CWE-416', 'CWE-732', 'CWE-732', 'CWE-787', 'CWE-125', 'CWE-362', 'CWE-287', 'CWE-787', 'CWE-476', 'CWE-306', 'CWE-294', 'CWE-798', 'CWE-798', 'CWE-306', 'CWE-78', 'CWE-276', 'CWE-20', 'CWE-502', 'CWE-416', 'CWE-200', 'CWE-59', 'CWE-416', 'CWE-416', 'CWE-352', 'CWE-20', 'CWE-287', 'CWE-522', 'CWE-88', 'CWE-352', 'CWE-269', 'CWE-88', 'CWE-78', 'CWE-78', 'CWE-88', 'CWE-78', 'CWE-306', 'CWE-78', 'CWE-798', 'CWE-20', 'CWE-732', 'CWE-862', 'CWE-287', 'CWE-838', 'CWE-863', 'CWE-20', 'CWE-119', 'CWE-273', 'CWE-863', 'CWE-532', 'CWE-22', 'CWE-284', 'CWE-787', 'CWE-639', 'CWE-416', 'CWE-119', 'CWE-362', 'CWE-20', 'CWE-131', 'CWE-362', 'CWE-79', 'CWE-200', 'CWE-284', 'CWE-119', 'CWE-22', 'CWE-94', 'CWE-94', 'CWE-416', 'CWE-20', 'CWE-20', 'CWE-119', 'CWE-20', 'CWE-119', 'CWE-59']","['NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-349', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-Other', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-Other', 'CWE-17', 'CWE-264', 'CWE-264', 'CWE-264', 'CWE-264', 'CWE-264', 'CWE-264', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'NVD-CWE-noinfo', 'CWE-264', 'NVD-CWE-noinfo', 'NVD-CWE-Other', 'NVD-CWE-noinfo']",0.6639344262295082
40,T1068 ,2,"['CWE-22', 'CWE-352']",[],1.0
41,T1078,48,"['CWE-327', 'CWE-770', 'CWE-863', 'CWE-20', 'CWE-552', 'CWE-787', 'CWE-78', 'CWE-94', 'CWE-94', 'CWE-20', 'CWE-862', 'CWE-640', 'CWE-78', 'CWE-88', 'CWE-427', 'CWE-88', 'CWE-88', 'CWE-269', 'CWE-613', 'CWE-78', 'CWE-88', 'CWE-332', 'CWE-78', 'CWE-916', 'CWE-89', 'CWE-78', 'CWE-89', 'CWE-119', 'CWE-20', 'CWE-119', 'CWE-20', 'CWE-22', 'CWE-200', 'CWE-330', 'CWE-338', 'CWE-617', 'CWE-131', 'CWE-284']","['CWE-347', 'NVD-CWE-Other', 'NVD-CWE-noinfo', 'CWE-347', 'NVD-CWE-Other', 'CWE-668', 'NVD-CWE-Other', 'NVD-CWE-noinfo', 'CWE-264', 'NVD-CWE-noinfo']",0.7916666666666666
42,T1078 ,4,"['CWE-312', 'CWE-522', 'CWE-532', 'CWE-522']",[],1.0
43,T1078.001,9,"['CWE-276', 'CWE-330', 'CWE-798', 'CWE-798', 'CWE-200', 'CWE-798', 'CWE-798', 'CWE-200', 'CWE-798']",[],1.0
44,T1078.003,1,[],['CWE-264'],0.0
45,T1080,1,['CWE-20'],[],1.0
46,T1083,8,"['CWE-22', 'CWE-22', 'CWE-538', 'CWE-22', 'CWE-552', 'CWE-200', 'CWE-22']",['CWE-264'],0.875
47,T1087,1,[],['CWE-264'],0.0
48,T1091,10,"['CWE-122', 'CWE-787', 'CWE-119', 'CWE-416', 'CWE-401', 'CWE-20', 'CWE-123']","['NVD-CWE-Other', 'NVD-CWE-noinfo', 'CWE-264']",0.7
49,T1098,8,"['CWE-862', 'CWE-78', 'CWE-287', 'CWE-640', 'CWE-522', 'CWE-352']","['NVD-CWE-noinfo', 'NVD-CWE-Other']",0.75
50,T1105,2,"['CWE-20', 'CWE-22']",[],1.0
51,T1110,17,"['CWE-330', 'CWE-327', 'CWE-331', 'CWE-326', 'CWE-330', 'CWE-916', 'CWE-332', 'CWE-916', 'CWE-203', 'CWE-521', 'CWE-327', 'CWE-200', 'CWE-200', 'CWE-330', 'CWE-338']","['CWE-347', 'CWE-335']",0.8823529411764706
52,T1110.001,1,['CWE-521'],[],1.0
53,T1114.001,1,['CWE-787'],[],1.0
54,T1133,38,"['CWE-89', 'CWE-917', 'CWE-20', 'CWE-98', 'CWE-532', 'CWE-862', 'CWE-122', 'CWE-74', 'CWE-502', 'CWE-74', 'CWE-502', 'CWE-78', 'CWE-787', 'CWE-787', 'CWE-20', 'CWE-20', 'CWE-59', 'CWE-20', 'CWE-89', 'CWE-22', 'CWE-862', 'CWE-59', 'CWE-78', 'CWE-89', 'CWE-89', 'CWE-20', 'CWE-611', 'CWE-200', 'CWE-78', 'CWE-611', 'CWE-787', 'CWE-200', 'CWE-22', 'CWE-116', 'CWE-119']","['NVD-CWE-noinfo', 'NVD-CWE-Other', 'CWE-255']",0.9210526315789473
55,T1133 ,1,['CWE-434'],[],1.0
56,T1134,1,['CWE-863'],[],1.0
57,T1134.001,1,['CWE-284'],[],1.0
58,T1134.001.,1,[],['CWE-264'],0.0
