ttp,cves,CWE-ID
T1059,"CVE-2020-15179, CVE-2020-15183, CVE-2020-15162, CVE-2020-11073, CVE-2020-5267, CVE-2020-5332, CVE-2020-5350, CVE-2020-15143, CVE-2020-5281, CVE-2020-12029, CVE-2020-5297, CVE-2020-5241, CVE-2020-15189, CVE-2020-5217, CVE-2020-5283, CVE-2020-11055, CVE-2020-15118, CVE-2020-15147, CVE-2020-15188, CVE-2020-15096, CVE-2020-15140, CVE-2020-15094, CVE-2020-3375, CVE-2020-3216, CVE-2020-9380, CVE-2020-10189, CVE-2020-11651, CVE-2020-14508, CVE-2020-14510, CVE-2020-6964, CVE-2020-12000, CVE-2020-3253, CVE-2020-3292, CVE-2020-3403, CVE-2020-10603, CVE-2020-1456, CVE-2020-3240, CVE-2020-12014, CVE-2020-6960, CVE-2019-15243, CVE-2019-2729, CVE-2019-2725, CVE-2019-1031, CVE-2019-1458, CVE-2019-15287, CVE-2019-15959, CVE-2019-18582, CVE-2019-1768, CVE-2019-18581, CVE-2019-1781, CVE-2019-1620, CVE-2019-3723, CVE-2019-1772, CVE-2019-1611, CVE-2019-1790, CVE-2019-1812, CVE-2019-3727, CVE-2019-3719, CVE-2019-3704, CVE-2019-1609, CVE-2019-1612, CVE-2019-1879, CVE-2019-15976, CVE-2019-18234, CVE-2019-15958, CVE-2019-1753, CVE-2019-1942, CVE-2019-15972, CVE-2019-15249, CVE-2018-15444, CVE-2018-10611, CVE-2018-11048, CVE-2018-15776, CVE-2018-15764, CVE-2018-8607, CVE-2018-19007, CVE-2018-18987, CVE-2018-17889, CVE-2017-14323, CVE-2017-18362, CVE-2016-5062, CVE-2015-2945, CVE-2015-6480, CVE-2015-7912, CVE-2014-6293, CVE-2014-4114, CVE-2013-3893, CVE-2012-6498, CVE-2012-4681, CVE-2012-0158, CVE-2010-3888","CWE-79, CWE-79, CWE-79, CWE-22, CWE-80, CWE-78, CWE-78, CWE-917, CWE-732, CWE-20, CWE-73, CWE-79, CWE-434, CWE-74, CWE-79, CWE-79, CWE-79, CWE-74, CWE-502, NVD-CWE-Other, CWE-74, CWE-212, CWE-20, CWE-287, CWE-434, CWE-502, CWE-306, CWE-193, CWE-798, CWE-306, CWE-502, NVD-CWE-Other, CWE-787, CWE-78, CWE-78, CWE-79, CWE-20, CWE-89, CWE-89, CWE-119, CWE-284, CWE-74, CWE-79, NVD-CWE-noinfo, CWE-119, CWE-20, CWE-94, CWE-78, CWE-862, CWE-88, CWE-22, CWE-20, CWE-119, CWE-88, CWE-88, CWE-347, CWE-78, NVD-CWE-noinfo, CWE-78, CWE-88, CWE-78, CWE-78, CWE-798, CWE-89, CWE-20, CWE-20, CWE-89, CWE-89, CWE-119, CWE-611, CWE-287, CWE-611, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-79, CWE-78, CWE-502, CWE-611, CWE-918, CWE-89, CWE-669, CWE-94, CWE-287, NVD-CWE-Other, CWE-89, CWE-20, CWE-399, NVD-CWE-Other, NVD-CWE-noinfo, CWE-94, NVD-CWE-noinfo"
T1059 ,CVE-2020-11010,CWE-89
T1059.001,CVE-2014-0295,CWE-264
T1059.004,"CVE-2016-9684, CVE-2014-6271, CVE-2014-9938, CVE-2014-7186, CVE-2014-6277, CVE-2012-1795","CWE-77, CWE-78, CWE-116, CWE-119, CWE-78, CWE-78"
T1059.006,CVE-2019-16784,CWE-732
T1059.007,"CVE-2020-5271, CVE-2020-5336, CVE-2020-5340, CVE-2020-5339, CVE-2020-5264, CVE-2020-5266, CVE-2020-11082, CVE-2020-5269, CVE-2020-5270, CVE-2020-11023, CVE-2020-11036, CVE-2020-11030, CVE-2020-3137, CVE-2020-9459, CVE-2020-3233, CVE-2020-3356, CVE-2020-3349, CVE-2020-11901, CVE-2020-11901, CVE-2020-11901, CVE-2020-11901, CVE-2020-3121, CVE-2019-13538, CVE-2019-18571, CVE-2019-1665, CVE-2019-18578, CVE-2019-15994, CVE-2019-3754, CVE-2019-3708, CVE-2019-1838, CVE-2019-15280, CVE-2019-1941, CVE-2018-15393, CVE-2018-11059, CVE-2018-11073, CVE-2018-11075, CVE-2015-6475","CWE-79, CWE-74, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-601, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-125, CWE-787, CWE-330, CWE-131, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79, CWE-79"
T1066,CVE-2019-10990,CWE-798
T1068,"CVE-2020-1190, CVE-2020-5369, CVE-2020-5362, CVE-2020-0981, CVE-2020-5328, CVE-2020-1027, CVE-2020-5326, CVE-2020-5539, CVE-2020-12659, CVE-2020-10817, CVE-2020-8649, CVE-2020-10751, CVE-2020-8467, CVE-2020-1471, CVE-2020-0636, CVE-2020-5371, CVE-2020-5358, CVE-2020-8835, CVE-2020-1347, CVE-2020-8835, CVE-2020-0758, CVE-2020-12652, CVE-2020-3216, CVE-2020-1111, CVE-2020-12653, CVE-2020-11608, CVE-2020-11651, CVE-2020-5300, CVE-2020-0688, CVE-2020-14510, CVE-2020-6964, CVE-2020-3403, CVE-2020-7004, CVE-2020-3387, CVE-2019-1087, CVE-2019-1086, CVE-2019-1021, CVE-2019-9081, CVE-2019-0708, CVE-2019-1402, CVE-2019-1423, CVE-2019-5954, CVE-2019-0808, CVE-2019-2215, CVE-2019-5786, CVE-2019-15821, CVE-2019-0859, CVE-2019-1214, CVE-2019-1215, CVE-2019-1764, CVE-2019-1889, CVE-2019-3798, CVE-2019-3780, CVE-2019-1611, CVE-2019-1915, CVE-2019-3735, CVE-2019-1790, CVE-2019-3704, CVE-2019-3727, CVE-2019-1609, CVE-2019-1612, CVE-2019-1876, CVE-2019-1879, CVE-2019-1863, CVE-2019-15976, CVE-2019-1753, CVE-2019-16784, CVE-2018-19830, CVE-2018-19831, CVE-2018-9862, CVE-2018-9488, CVE-2018-11776, CVE-2018-5463, CVE-2018-8599, CVE-2018-8575, CVE-2018-11060, CVE-2018-15758, CVE-2018-15774, CVE-2018-11088, CVE-2018-15761, CVE-2018-15797, CVE-2018-15782, CVE-2018-17908, CVE-2018-7500, CVE-2018-10636, CVE-2017-15211, CVE-2017-0263, CVE-2017-1274, CVE-2017-7533, CVE-2017-5638, CVE-2017-13289, CVE-2017-0213, CVE-2016-6367, CVE-2016-5195, CVE-2015-1805, CVE-2015-1494, CVE-2015-7910, CVE-2015-7910, CVE-2015-2387, CVE-2015-2360, CVE-2015-0016, CVE-2015-2945, CVE-2015-1701, CVE-2015-1769, CVE-2014-4148, CVE-2014-0322, CVE-2014-4113, CVE-2014-1807, CVE-2014-6324, CVE-2014-4114, CVE-2013-0707, CVE-2013-5065, CVE-2013-0640, CVE-2012-4681, CVE-2012-0181, CVE-2011-1331, CVE-2010-1592, CVE-2010-2884, CVE-2010-2743, CVE-2009-1612, CVE-2008-0655, CVE-2008-4996","NVD-CWE-noinfo, CWE-732, CWE-862, CWE-863, CWE-306, NVD-CWE-noinfo, CWE-306, CWE-639, CWE-787, CWE-89, CWE-416, CWE-349, NVD-CWE-noinfo, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-732, CWE-732, CWE-787, NVD-CWE-noinfo, CWE-125, NVD-CWE-noinfo, CWE-362, CWE-287, NVD-CWE-noinfo, CWE-787, CWE-476, CWE-306, CWE-294, CWE-798, CWE-798, CWE-306, CWE-78, CWE-276, CWE-20, NVD-CWE-noinfo, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-502, CWE-416, CWE-200, CWE-59, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-416, CWE-416, NVD-CWE-noinfo, NVD-CWE-noinfo, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-352, CWE-20, CWE-287, CWE-522, CWE-88, CWE-352, CWE-269, CWE-88, CWE-78, CWE-78, CWE-88, CWE-78, CWE-306, CWE-78, NVD-CWE-Other, CWE-798, CWE-20, CWE-732, CWE-862, CWE-287, CWE-838, CWE-863, CWE-20, CWE-119, CWE-273, NVD-CWE-noinfo, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-863, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-532, CWE-22, CWE-284, NVD-CWE-noinfo, CWE-787, CWE-639, CWE-416, CWE-119, CWE-362, CWE-20, CWE-131, NVD-CWE-noinfo, NVD-CWE-Other, CWE-362, CWE-17, CWE-79, CWE-200, CWE-284, CWE-264, CWE-119, CWE-22, CWE-94, CWE-264, CWE-264, CWE-94, CWE-416, CWE-264, CWE-264, CWE-264, CWE-20, NVD-CWE-noinfo, CWE-20, NVD-CWE-noinfo, NVD-CWE-noinfo, CWE-264, CWE-119, CWE-20, NVD-CWE-noinfo, NVD-CWE-Other, CWE-119, NVD-CWE-noinfo, CWE-59"
T1068 ,"CVE-2020-15182, CVE-2020-15182","CWE-22, CWE-352"
T1078,"CVE-2020-11035, CVE-2020-15093, CVE-2020-15100, CVE-2020-3477, CVE-2020-3379, CVE-2020-3476, CVE-2020-3253, CVE-2020-3292, CVE-2020-3403, CVE-2020-3513, CVE-2020-3416, CVE-2019-1889, CVE-2019-15998, CVE-2019-3787, CVE-2019-1768, CVE-2019-1781, CVE-2019-15963, CVE-2019-1794, CVE-2019-1790, CVE-2019-1611, CVE-2019-3735, CVE-2019-1812, CVE-2019-3790, CVE-2019-3704, CVE-2019-1609, CVE-2019-1715, CVE-2019-1612, CVE-2019-6563, CVE-2019-15972, CVE-2019-1879, CVE-2019-1942, CVE-2019-15243, CVE-2019-15956, CVE-2019-12660, CVE-2019-1753, CVE-2019-1863, CVE-2019-15249, CVE-2019-15288, CVE-2018-14847, CVE-2018-15800, CVE-2018-15761, CVE-2018-11045, CVE-2018-15795, CVE-2017-11368, CVE-2017-13289, CVE-2016-5645, CVE-2013-0629, CVE-2013-0640","CWE-327, CWE-347, CWE-770, CWE-863, CWE-20, CWE-552, NVD-CWE-Other, CWE-787, CWE-78, CWE-94, CWE-94, CWE-20, CWE-862, CWE-640, CWE-78, CWE-88, NVD-CWE-noinfo, CWE-427, CWE-88, CWE-88, CWE-269, CWE-347, CWE-613, CWE-78, CWE-88, CWE-332, CWE-78, CWE-916, CWE-89, CWE-78, CWE-89, CWE-119, NVD-CWE-Other, CWE-668, CWE-20, NVD-CWE-Other, CWE-119, CWE-20, CWE-22, CWE-200, NVD-CWE-noinfo, CWE-330, CWE-338, CWE-617, CWE-131, CWE-284, CWE-264, NVD-CWE-noinfo"
